Algorithm,Seed,Noise Std,Mean Reward
DQN,42,0.0,-72.94542687658989
DQN,42,0.05,-91.89001251445022
DQN,42,0.1,-115.22649557852974
DQN,42,0.2,-28.511717620301958
DQN,42,0.3,-35.185653188137074
DQN,42,0.5,-79.49164458029803
SARSA,42,0.0,20.536930085842027
SARSA,42,0.05,-1.2992004690395689
SARSA,42,0.1,-20.410739997639986
SARSA,42,0.2,8.729174864705483
SARSA,42,0.3,-13.207179019060238
SARSA,42,0.5,-27.675094358638546
PPO,42,0.0,207.11005108506137
PPO,42,0.05,163.41564843481794
PPO,42,0.1,131.109504141936
PPO,42,0.2,106.90839394416655
PPO,42,0.3,61.479911248395624
PPO,42,0.5,20.325946161719795
DQN,1,0.0,-150.37211077227306
DQN,1,0.05,-91.268848301782
DQN,1,0.1,-92.91588114275241
DQN,1,0.2,-73.92670011616873
DQN,1,0.3,-98.3399685461184
DQN,1,0.5,-202.15480240814668
SARSA,1,0.0,-94.9963535508555
SARSA,1,0.05,-57.61490734481439
SARSA,1,0.1,-18.813792447219843
SARSA,1,0.2,-11.998422804962381
SARSA,1,0.3,-32.48616713754991
SARSA,1,0.5,-48.17010101596338
PPO,1,0.0,121.75304734774375
PPO,1,0.05,71.79748770042194
PPO,1,0.1,98.63440323791463
PPO,1,0.2,42.330370877872106
PPO,1,0.3,23.86059739704168
PPO,1,0.5,-43.90017073409926
DQN,2,0.0,-229.41399434693813
DQN,2,0.05,-133.86767826818988
DQN,2,0.1,-95.92369694241297
DQN,2,0.2,-86.65379020134108
DQN,2,0.3,-64.17529385725989
DQN,2,0.5,-91.59538194223947
SARSA,2,0.0,-101.4609852488897
SARSA,2,0.05,-123.17850968547289
SARSA,2,0.1,-147.221653037672
SARSA,2,0.2,-68.83705766259195
SARSA,2,0.3,-51.234056627015185
SARSA,2,0.5,-74.79886249361026
PPO,2,0.0,203.22940741287363
PPO,2,0.05,143.4299319743719
PPO,2,0.1,146.89204698181032
PPO,2,0.2,110.56915509996483
PPO,2,0.3,99.36627517059743
PPO,2,0.5,44.01095797665047
DQN,3,0.0,-108.50489359592669
DQN,3,0.05,-105.76883067951421
DQN,3,0.1,-49.36563950245774
DQN,3,0.2,-14.219500251528453
DQN,3,0.3,-25.213444281105815
DQN,3,0.5,-20.32289773768166
SARSA,3,0.0,-86.30797254797042
SARSA,3,0.05,-36.76323716223635
SARSA,3,0.1,7.154502689765482
SARSA,3,0.2,9.37049556546329
SARSA,3,0.3,-47.25063957116397
SARSA,3,0.5,-42.21887248978207
PPO,3,0.0,132.94683902330772
PPO,3,0.05,153.89893972537578
PPO,3,0.1,89.97642103514474
PPO,3,0.2,85.60867371399704
PPO,3,0.3,61.482245191580944
PPO,3,0.5,25.0477676417237
DQN,4,0.0,-111.0756173321219
DQN,4,0.05,-133.21456074835706
DQN,4,0.1,-76.62724878118489
DQN,4,0.2,-59.43607289179529
DQN,4,0.3,-75.33922548729159
DQN,4,0.5,-66.92625256047168
SARSA,4,0.0,-69.5106036438754
SARSA,4,0.05,-39.1592885052649
SARSA,4,0.1,-86.34521253815119
SARSA,4,0.2,-129.97560656824712
SARSA,4,0.3,-124.26834546126744
SARSA,4,0.5,-189.20062664503934
PPO,4,0.0,89.87330890113614
PPO,4,0.05,73.17370491226346
PPO,4,0.1,53.71091272782947
PPO,4,0.2,76.40476238698696
PPO,4,0.3,80.32967457808354
PPO,4,0.5,-4.522542555288256
