Algorithm,Base Algo,Training,Seed,Noise Level,Wind Power,Mean Reward
DQN,DQN,Baseline,42,None,0.0,-92.53724905899716
DQN,DQN,Baseline,42,Low,5.0,-148.1854243897887
DQN,DQN,Baseline,42,Medium,10.0,-171.6390910991664
DQN,DQN,Baseline,42,High,15.0,-157.4319950656547
DQN,DQN,Baseline,42,Extreme,20.0,-188.52681201404053
DQN_Robust,DQN,Robust,42,None,0.0,-48.11621551539615
DQN_Robust,DQN,Robust,42,Low,5.0,31.822997860184245
DQN_Robust,DQN,Robust,42,Medium,10.0,-28.986192069766325
DQN_Robust,DQN,Robust,42,High,15.0,-3.3906946930528976
DQN_Robust,DQN,Robust,42,Extreme,20.0,-93.60582378913973
SARSA,SARSA,Baseline,42,None,0.0,-13.026161011488464
SARSA,SARSA,Baseline,42,Low,5.0,3.3233257322308276
SARSA,SARSA,Baseline,42,Medium,10.0,-127.73876379547933
SARSA,SARSA,Baseline,42,High,15.0,-154.5073875910304
SARSA,SARSA,Baseline,42,Extreme,20.0,-154.2608125622459
SARSA_Robust,SARSA,Robust,42,None,0.0,85.73630918941834
SARSA_Robust,SARSA,Robust,42,Low,5.0,-147.44784019383536
SARSA_Robust,SARSA,Robust,42,Medium,10.0,-175.16524765546046
SARSA_Robust,SARSA,Robust,42,High,15.0,-249.04875884020535
SARSA_Robust,SARSA,Robust,42,Extreme,20.0,-242.28597391404168
PPO,PPO,Baseline,42,None,0.0,222.19258811822343
PPO,PPO,Baseline,42,Low,5.0,204.6998774209613
PPO,PPO,Baseline,42,Medium,10.0,154.49298746941244
PPO,PPO,Baseline,42,High,15.0,123.63214678296234
PPO,PPO,Baseline,42,Extreme,20.0,125.98606384934124
PPO_Robust,PPO,Robust,42,None,0.0,219.4260059196003
PPO_Robust,PPO,Robust,42,Low,5.0,226.43582494997273
PPO_Robust,PPO,Robust,42,Medium,10.0,176.1863443798918
PPO_Robust,PPO,Robust,42,High,15.0,170.99286051437508
PPO_Robust,PPO,Robust,42,Extreme,20.0,153.4136573208415
DQN,DQN,Baseline,1,None,0.0,-151.84007258264796
DQN,DQN,Baseline,1,Low,5.0,-129.9318654280563
DQN,DQN,Baseline,1,Medium,10.0,-130.66820945309695
DQN,DQN,Baseline,1,High,15.0,-179.05227610866746
DQN,DQN,Baseline,1,Extreme,20.0,-233.71427969364436
DQN_Robust,DQN,Robust,1,None,0.0,-182.84261970793847
DQN_Robust,DQN,Robust,1,Low,5.0,-111.77574039425367
DQN_Robust,DQN,Robust,1,Medium,10.0,-132.33231120014102
DQN_Robust,DQN,Robust,1,High,15.0,-75.48336247109633
DQN_Robust,DQN,Robust,1,Extreme,20.0,-183.32924630873612
SARSA,SARSA,Baseline,1,None,0.0,-88.58221320982986
SARSA,SARSA,Baseline,1,Low,5.0,-72.72824041267418
SARSA,SARSA,Baseline,1,Medium,10.0,-48.92179772016719
SARSA,SARSA,Baseline,1,High,15.0,-85.56610665151216
SARSA,SARSA,Baseline,1,Extreme,20.0,-93.97593416111143
SARSA_Robust,SARSA,Robust,1,None,0.0,-27.58622198481408
SARSA_Robust,SARSA,Robust,1,Low,5.0,59.28387122866262
SARSA_Robust,SARSA,Robust,1,Medium,10.0,-72.87098873107043
SARSA_Robust,SARSA,Robust,1,High,15.0,-188.06542094106115
SARSA_Robust,SARSA,Robust,1,Extreme,20.0,-124.87420697560985
PPO,PPO,Baseline,1,None,0.0,150.25355951049522
PPO,PPO,Baseline,1,Low,5.0,80.27856280040419
PPO,PPO,Baseline,1,Medium,10.0,101.59376039611224
PPO,PPO,Baseline,1,High,15.0,8.435497498395236
PPO,PPO,Baseline,1,Extreme,20.0,-30.414035578378567
PPO_Robust,PPO,Robust,1,None,0.0,177.86148552634987
PPO_Robust,PPO,Robust,1,Low,5.0,163.23677762851327
PPO_Robust,PPO,Robust,1,Medium,10.0,121.42499568165408
PPO_Robust,PPO,Robust,1,High,15.0,113.21449075134849
PPO_Robust,PPO,Robust,1,Extreme,20.0,0.4916449258642501
DQN,DQN,Baseline,2,None,0.0,-225.8616572269052
DQN,DQN,Baseline,2,Low,5.0,-234.9511630533009
DQN,DQN,Baseline,2,Medium,10.0,-230.22554403274822
DQN,DQN,Baseline,2,High,15.0,-268.23746141270067
DQN,DQN,Baseline,2,Extreme,20.0,-182.35159185596325
DQN_Robust,DQN,Robust,2,None,0.0,-113.79024580417163
DQN_Robust,DQN,Robust,2,Low,5.0,-136.55316275201073
DQN_Robust,DQN,Robust,2,Medium,10.0,-181.43532068194344
DQN_Robust,DQN,Robust,2,High,15.0,-184.04507702660277
DQN_Robust,DQN,Robust,2,Extreme,20.0,-170.2878614633267
SARSA,SARSA,Baseline,2,None,0.0,-191.3156011893648
SARSA,SARSA,Baseline,2,Low,5.0,-103.95114156252448
SARSA,SARSA,Baseline,2,Medium,10.0,-119.29240872598612
SARSA,SARSA,Baseline,2,High,15.0,-102.88300124233305
SARSA,SARSA,Baseline,2,Extreme,20.0,-208.1019157387479
SARSA_Robust,SARSA,Robust,2,None,0.0,-95.46731249566474
SARSA_Robust,SARSA,Robust,2,Low,5.0,-19.19976590365558
SARSA_Robust,SARSA,Robust,2,Medium,10.0,132.55256024546165
SARSA_Robust,SARSA,Robust,2,High,15.0,24.072309377454808
SARSA_Robust,SARSA,Robust,2,Extreme,20.0,-25.532987294892372
PPO,PPO,Baseline,2,None,0.0,204.41029794370934
PPO,PPO,Baseline,2,Low,5.0,175.91773950006285
PPO,PPO,Baseline,2,Medium,10.0,158.61733801365378
PPO,PPO,Baseline,2,High,15.0,107.29087510724864
PPO,PPO,Baseline,2,Extreme,20.0,46.23071815111301
PPO_Robust,PPO,Robust,2,None,0.0,-7.9763418424996075
PPO_Robust,PPO,Robust,2,Low,5.0,-77.73768049221044
PPO_Robust,PPO,Robust,2,Medium,10.0,-109.85597971347211
PPO_Robust,PPO,Robust,2,High,15.0,-184.531299236035
PPO_Robust,PPO,Robust,2,Extreme,20.0,-179.768768203631
DQN,DQN,Baseline,3,None,0.0,-90.4075056894087
DQN,DQN,Baseline,3,Low,5.0,-2.0774096910922912
DQN,DQN,Baseline,3,Medium,10.0,-101.59041485328717
DQN,DQN,Baseline,3,High,15.0,-100.29009445813776
DQN,DQN,Baseline,3,Extreme,20.0,-135.24468750871262
DQN_Robust,DQN,Robust,3,None,0.0,-92.655622868695
DQN_Robust,DQN,Robust,3,Low,5.0,-38.792352795962714
DQN_Robust,DQN,Robust,3,Medium,10.0,-7.008888173371074
DQN_Robust,DQN,Robust,3,High,15.0,-39.76587994040259
DQN_Robust,DQN,Robust,3,Extreme,20.0,-60.044938617048885
SARSA,SARSA,Baseline,3,None,0.0,-80.68206518161914
SARSA,SARSA,Baseline,3,Low,5.0,-46.76451143080037
